Rk.,Player,Year,HR,SO,BB,SLG
572," Grace, Mark",1995,16,46,65,0.516
573," Anderson, Brady",1995,16,111,87,0.444
574," Damon, Johnny",2000,16,60,65,0.495
575," Brosius, Scott",2000,16,73,45,0.374
576," Martinez, Tino",2000,16,74,52,0.422
577," Cordero, Wil",2000,16,76,32,0.464
578," Coomer, Ron",2000,16,50,36,0.415
579," Renteria, Edgar",2000,16,77,63,0.423
580," Uribe, Juan",2005,16,77,34,0.412
581," Beltran, Carlos",2005,16,96,56,0.414
582," Inge, Brandon",2005,16,140,63,0.419
583," Boone, Aaron",2005,16,92,35,0.378
584," Crisp, Coco",2005,16,81,44,0.465
585," Encarnacion, Juan",2005,16,104,41,0.447
586," Ibanez, Raul",2010,16,108,68,0.444
587," Torres, Andres",2010,16,128,56,0.479
588," Utley, Chase",2010,16,63,63,0.445
589," Betancourt, Yuniesky",2010,16,64,23,0.405
590," Kouzmanoff, Kevin",2010,16,96,24,0.396
591," McCutchen, Andrew",2010,16,89,70,0.449
592," Walker, Neil",2015,16,110,44,0.427
593," Cain, Lorenzo",2015,16,98,37,0.477
594," Coghlan, Chris",2015,16,94,58,0.443
595," Gardner, Brett",2015,16,135,68,0.399
596," Flores, Wilmer",2015,16,63,19,0.408
597," Lawrie, Brett",2015,16,144,28,0.407
598," Pollock, AJ",2020,16,45,12,0.566
599," Cruz, Nelson",2020,16,58,25,0.595
600," Duvall, Adam",2020,16,54,15,0.532
601," Alonso, Pete",2020,16,61,24,0.49
602," Hernandez, Teoscar",2020,16,63,14,0.579
603," Calhoun, Kole",2020,16,50,28,0.526
604," Machado, Manny",2020,16,37,26,0.58
605," Betts, Mookie",2020,16,38,24,0.562
606," Lansford, Carney",1980,15,93,50,0.39
607," Morrison, Jim",1980,15,74,36,0.424
608," McReynolds, Kevin",1985,15,81,43,0.371
609," Ward, Gary",1985,15,97,39,0.433
610," Upshaw, Willie",1985,15,71,48,0.447
611," Carter, Joe",1985,15,74,25,0.409
612," Yount, Robin",1985,15,56,49,0.442
613," Nettles, Graig",1985,15,59,72,0.42
614," Kelly, Roberto",1990,15,148,33,0.418
615," Tettleton, Mickey",1990,15,160,106,0.381
616," Sosa, Sammy",1990,15,150,33,0.404
617," Zeile, Todd",1990,15,77,67,0.398
618," Thompson, Robby",1990,15,96,34,0.392
619," Felix, Junior",1990,15,99,45,0.441
620," Jefferies, Gregg",1990,15,40,46,0.434
621," Boone, Bret",1995,15,84,41,0.429
622," Merced, Orlando",1995,15,74,52,0.468
623," Greenwell, Mike",1995,15,35,38,0.459
624," Baerga, Carlos",1995,15,31,35,0.452
625," Molitor, Paul",1995,15,57,61,0.423
626," Larkin, Barry",1995,15,49,61,0.492
627," Fryman, Travis",1995,15,100,63,0.409
628," Randa, Joe",2000,15,66,36,0.438
629," Jeter, Derek",2000,15,99,68,0.481
630," Gonzalez, Alex",2000,15,113,43,0.404
631," Martin, Al",2000,15,85,36,0.452
632," Buford, Damon",2000,15,118,47,0.39
633," Lofton, Kenny",2000,15,72,79,0.422
634," Suzuki, Ichiro",2005,15,66,48,0.436
635," Kotsay, Mark",2005,15,51,40,0.421
636," Iguchi, Tadahito",2005,15,114,47,0.438
637," Johnson, Nick",2005,15,87,80,0.479
638," Hinske, Eric",2005,15,121,46,0.43
639," Giles, Marcus",2005,15,108,64,0.461
640," Crawford, Carl",2005,15,84,27,0.469
641," Giles, Brian",2005,15,64,119,0.483
642," Tejada, Miguel",2010,15,67,30,0.381
643," Peralta, Jhonny",2010,15,103,53,0.392
644," Prado, Martin",2010,15,86,40,0.459
645," Drew, Stephen",2010,15,108,62,0.458
646," Butler, Billy",2010,15,78,69,0.469
647," Cabrera, Asdrubal",2015,15,107,36,0.43
648," Butler, Billy",2015,15,101,52,0.39
649," Ramos, Wilson",2015,15,101,21,0.358
650," Brantley, Michael",2015,15,51,60,0.48
651," Altuve, Jose",2015,15,67,33,0.459
652," Semien, Marcus",2015,15,132,42,0.405
653," Castellanos, Nick",2015,15,152,39,0.419
654," Myers, Wil",2020,15,56,18,0.606
655," Seager, Corey",2020,15,37,17,0.585
656," Suarez, Eugenio",2020,15,67,30,0.47
657," Cromartie, Warren",1980,14,64,51,0.43
658," Cerone, Rick",1980,14,56,32,0.432
659," McRae, Hal",1980,14,56,29,0.483
660," Knight, Ray",1980,14,62,36,0.417
661," Grich, Bobby",1980,14,108,84,0.408
662," Driessen, Dan",1980,14,68,93,0.418
663," Moreland, Keith",1985,14,58,68,0.44
664," Wilson, Glenn",1985,14,117,35,0.424
665," Doran, Bill",1985,14,69,71,0.434
666," Henderson, Dave",1985,14,104,48,0.388
667," Jacoby, Brook",1990,14,58,63,0.427
668," Calderon, Ivan",1990,14,79,51,0.422
669," Greenwell, Mike",1990,14,43,65,0.434
670," Brett, George",1990,14,63,56,0.515
671," Palmeiro, Rafael",1990,14,59,40,0.468
672," Trammell, Alan",1990,14,55,68,0.449
673," Pendleton, Terry",1995,14,84,38,0.439
674," Dunston, Shawon",1995,14,75,10,0.472
675," Zeile, Todd",1995,14,76,34,0.397
676," Higginson, Bobby",1995,14,107,62,0.393
677," Tarasco, Tony",1995,14,78,51,0.404
678," Grissom, Marquis",2000,14,99,39,0.351
679," Easley, Damion",2000,14,79,55,0.416
680," Clayton, Royce",2000,14,92,42,0.384
681," Kendall, Jason",2000,14,79,79,0.47
682," Olerud, John",2000,14,96,102,0.439
683," Molina, Bengie",2000,14,33,23,0.421
684," Surhoff, B.J.",2000,14,58,41,0.443
685," Encarnacion, Juan",2000,14,90,29,0.433
686," Cano, Robinson",2005,14,68,16,0.458
687," Rodriguez, Ivan",2005,14,93,11,0.444
688," Cuddyer, Michael",2010,14,93,58,0.417
689," Ross, Cody",2010,14,121,37,0.413
690," Boesch, Brennan",2010,14,99,40,0.416
691," Parra, Gerardo",2015,14,92,28,0.452
692," Solarte, Yangervis",2015,14,56,34,0.428
693," Murphy, Daniel",2015,14,38,31,0.449
694," Norris, Derek",2015,14,131,35,0.404
695," Taylor, Michael A.",2015,14,158,35,0.358
696," Eaton, Adam",2015,14,131,58,0.431
697," Acuna Jr., Ronald",2020,14,60,38,0.581
698," Castellanos, Nick",2020,14,69,19,0.486
699," Lowe, Brandon",2020,14,58,25,0.554
700," Jimenez, Eloy",2020,14,56,12,0.559
701," Springer, George",2020,14,38,24,0.54
702," Olson, Matt",2020,14,77,34,0.424
703," Bonnell, Barry",1980,13,59,37,0.417
704," Murphy, Dwayne",1980,13,96,102,0.38
705," Watson, Bob",1980,13,56,48,0.456
706," Johnson, Lamar",1980,13,53,47,0.409
707," Bochte, Bruce",1980,13,81,72,0.456
708," Baines, Harold",1980,13,65,19,0.405
709," Puhl, Terry",1980,13,52,60,0.419
710," Griffey, Ken",1980,13,77,62,0.454
711," Castino, John",1980,13,67,29,0.43
712," Hayes, Von",1985,13,99,61,0.398
713," Davis, Chili",1985,13,74,62,0.412
714," Brooks, Hubie",1985,13,79,34,0.413
715," Grich, Bobby",1985,13,77,81,0.372
716," Trammell, Alan",1985,13,71,50,0.38
717," Samuel, Juan",1990,13,126,51,0.382
718," Guerrero, Pedro",1990,13,70,44,0.426
719," Evans, Dwight",1990,13,73,67,0.391
720," Greer, Rusty",1995,13,66,55,0.424
721," Martin, Al",1995,13,92,44,0.442
722," White, Rondell",1995,13,87,41,0.464
723," Alomar, Roberto",1995,13,45,47,0.449
724," Surhoff, B.J.",1995,13,43,37,0.492
725," Gonzalez, Luis",1995,13,63,57,0.454
726," Bell, Jay",1995,13,110,55,0.404
727," Meares, Pat",2000,13,91,36,0.381
728," Lawton, Matt",2000,13,63,91,0.46
729," Ledee, Ricky",2000,13,98,59,0.381
730," O'Leary, Troy",2000,13,76,44,0.411
731," Lawton, Matt",2005,13,77,69,0.396
732," Rowand, Aaron",2005,13,116,32,0.407
733," Clark, Brady",2005,13,55,47,0.426
734," Atkins, Garrett",2005,13,72,45,0.426
735," Inge, Brandon",2010,13,134,54,0.397
736," Francoeur, Jeff",2010,13,81,30,0.383
737," Suzuki, Kurt",2010,13,49,33,0.366
738," Sandoval, Pablo",2010,13,81,47,0.409
739," Rollins, Jimmy",2015,13,86,44,0.358
740," Zobrist, Ben",2015,13,56,62,0.45
741," Heyward, Jason",2015,13,90,56,0.439
742," Garcia, Avisail",2015,13,141,36,0.365
743," Russell, Addison",2015,13,149,42,0.389
744," Harper, Bryce",2020,13,43,49,0.542
745," Hiura, Keston",2020,13,85,16,0.41
746," Freeman, Freddie",2020,13,37,45,0.64
747," Rosario, Eddie",2020,13,34,19,0.476
748," Soto, Juan",2020,13,28,41,0.695
749," Sano, Miguel",2020,13,90,18,0.478
750," Smalley, Roy",1980,12,63,65,0.405
751," Simmons, Ted",1985,12,32,57,0.402
752," Madlock, Bill",1985,12,53,49,0.402
753," Landreaux, Ken",1985,12,37,33,0.405
754," James, Chris",1990,12,71,31,0.443
755," Daulton, Darren",1990,12,72,72,0.416
756," Puckett, Kirby",1990,12,73,57,0.446
757," Grissom, Marquis",1995,12,61,47,0.376
758," Segui, David",1995,12,47,40,0.461
759," Raines, Tim",1995,12,52,70,0.422
760," McRae, Brian",1995,12,92,47,0.44
761," Blauser, Jeff",1995,12,107,57,0.341
762," Rodriguez, Ivan",1995,12,48,16,0.449
763," Joyner, Wally",1995,12,65,69,0.447
764," Nixon, Trot",2000,12,85,63,0.461
765," Kotsay, Mark",2000,12,46,42,0.443
766," Velarde, Randy",2000,12,95,54,0.4
767," Reese, Pokey",2000,12,86,45,0.386
768," Benard, Marvin",2000,12,97,63,0.396
769," Castilla, Vinny",2005,12,82,43,0.403
770," Rollins, Jimmy",2005,12,71,47,0.431
771," Furcal, Rafael",2005,12,78,62,0.429
772," Williams, Bernie",2005,12,75,53,0.367
773," Durham, Ray",2005,12,59,48,0.429
774," Byrd, Marlon",2010,12,98,31,0.429
775," Gutierrez, Franklin",2010,12,137,50,0.363
776," Markakis, Nick",2010,12,93,73,0.436
777," Phillips, Brandon",2015,12,68,27,0.395
778," Cabrera, Melky",2015,12,88,40,0.394
779," Pillar, Kevin",2015,12,85,28,0.399
780," Duffy, Matt",2015,12,96,30,0.428
781," Muncy, Max",2020,12,60,39,0.389
782," Nunez, Renato",2020,12,64,17,0.492
783," Yelich, Christian",2020,12,76,46,0.43
784," Grichuk, Randal",2020,12,49,13,0.481
785," Turner, Trea",2020,12,36,22,0.588
786," Bellinger, Cody",2020,12,42,30,0.455
787," Flores, Wilmer",2020,12,36,13,0.515
788," Happ, Ian",2020,12,63,30,0.505
789," Meyer, Dan",1980,11,42,31,0.407
790," Cruz, Jose",1980,11,66,60,0.426
791," Maddox, Garry",1980,11,52,18,0.386
792," Lemon, Chet",1980,11,56,71,0.442
793," Hargrove, Mike",1980,11,36,111,0.404
794," Morgan, Joe",1980,11,47,93,0.373
795," Harrah, Toby",1980,11,60,98,0.38
796," Raines, Tim",1985,11,60,81,0.475
797," Bernazard, Tony",1985,11,72,69,0.404
798," Franco, Julio",1990,11,83,82,0.402
799," White, Devon",1990,11,116,44,0.343
800," Treadway, Jeff",1990,11,42,25,0.403
801," Martinez, Edgar",1990,11,62,74,0.433
802," Knoblauch, Chuck",1995,11,95,78,0.487
803," Gomez, Chris",1995,11,96,41,0.355
804," Jefferies, Gregg",1995,11,26,35,0.448
805," Hayes, Charlie",1995,11,88,50,0.406
806," Gutierrez, Ricky",2000,11,58,66,0.401
807," Singleton, Chris",2000,11,85,35,0.382
808," Lansing, Mike",2000,11,75,38,0.365
809," Bell, David",2000,11,66,42,0.381
810," Grace, Mark",2000,11,28,95,0.429
811," Cirillo, Jeff",2000,11,72,67,0.477
812," Everett, Adam",2005,11,103,26,0.364
813," Zaun, Gregg",2005,11,70,73,0.373
814," Berroa, Angel",2005,11,108,18,0.375
815," Wilkerson, Brad",2005,11,147,84,0.405
816," Scutaro, Marco",2010,11,71,53,0.388
817," Cantu, Jorge",2010,11,95,29,0.392
818," Reyes, Jose",2010,11,63,31,0.428
819," Pagan, Angel",2010,11,97,44,0.425
820," Wieters, Matt",2010,11,94,47,0.377
821," Headley, Chase",2010,11,139,56,0.375
822," Kinsler, Ian",2015,11,80,43,0.428
823," Headley, Chase",2015,11,135,51,0.369
824," Castro, Starlin",2015,11,91,21,0.375
825," Wong, Kolten",2015,11,95,36,0.386
826," Story, Trevor",2020,11,63,24,0.519
827," Robert, Luis",2020,11,73,20,0.436
828," Realmuto, J.T.",2020,11,48,16,0.491
829," Gurriel Jr., Lourdes",2020,11,48,14,0.534
830," Schwarber, Kyle",2020,11,66,30,0.393
831," Anderson, Brian",2020,11,66,22,0.465
832," Votto, Joey",2020,11,43,37,0.446
833," Devers, Rafael",2020,11,67,13,0.483
834," Lewis, Kyle",2020,11,71,34,0.437
835," Rizzo, Anthony",2020,11,38,28,0.414
836," Bogaerts, Xander",2020,11,41,21,0.502
837," Lopes, Davey",1980,10,71,58,0.344
838," Howell, Roy",1980,10,92,50,0.413
839," Cedeno, Cesar",1980,10,72,66,0.465
840," Orta, Jorge",1980,10,44,71,0.403
841," Brookens, Tom",1980,10,71,32,0.418
842," Madlock, Bill",1980,10,33,45,0.399
843," Buckner, Bill",1980,10,18,30,0.457
844," Sundberg, Jim",1980,10,67,64,0.384
845," Pena, Tony",1985,10,67,29,0.361
846," Law, Vance",1985,10,96,86,0.405
847," Kennedy, Terry",1985,10,102,31,0.372
848," Molitor, Paul",1985,10,80,54,0.408
849," Hernandez, Keith",1985,10,59,77,0.43
850," McGee, Willie",1985,10,86,34,0.503
851," Bell, Buddy",1985,10,48,67,0.35
852," Leonard, Jeffrey",1990,10,97,37,0.356
853," Sheffield, Gary",1990,10,41,44,0.421
854," Hayes, Charlie",1990,10,91,28,0.348
855," Naehring, Tim",1995,10,66,77,0.448
856," Johnson, Lance",1995,10,31,32,0.425
857," Finley, Steve",1995,10,62,59,0.42
858," Lansing, Mike",1995,10,65,28,0.392
859," White, Devon",1995,10,97,29,0.431
860," Cordero, Wil",1995,10,88,36,0.42
861," Cruz, Deivi",2000,10,43,13,0.449
862," DeShields, Delino",2000,10,82,69,0.444
863," Mueller, Bill",2000,10,62,52,0.388
864," Varitek, Jason",2000,10,84,60,0.388
865," Perez, Neifi",2000,10,63,30,0.427
866," Damon, Johnny",2005,10,69,53,0.439
867," Bell, David",2005,10,69,47,0.361
868," Rios, Alex",2005,10,101,28,0.397
869," Mueller, Bill",2005,10,74,59,0.43
870," Stewart, Shannon",2005,10,73,34,0.388
871," Jeter, Derek",2010,10,106,63,0.37
872," Loney, James",2010,10,95,52,0.395
873," Lopez, Jose",2010,10,66,23,0.339
874," Callaspo, Alberto",2010,10,42,31,0.374
875," Kendrick, Howie",2010,10,94,28,0.407
876," Barton, Daric",2010,10,102,110,0.405
877," Desmond, Ian",2010,10,109,28,0.392
878," Zobrist, Ben",2010,10,107,92,0.353
879," Mauer, Joe",2015,10,112,67,0.38
880," Maybin, Cameron",2015,10,102,45,0.37
881," Sandoval, Pablo",2015,10,73,25,0.366
882," Ramirez, Alexei",2015,10,68,31,0.357
883," Kiermaier, Kevin",2015,10,95,24,0.42
884," Yastrzemski, Mike",2020,10,55,30,0.568
885," Moran, Colin",2020,10,52,19,0.472
886," LeMahieu, DJ",2020,10,21,18,0.59
887," Smith, Dominic",2020,10,45,14,0.616
888," Grisham, Trent",2020,10,64,31,0.456
889," Gallo, Joey",2020,10,79,29,0.378
890," Anderson, Tim",2020,10,50,10,0.529
891," Swanson, Dansby",2020,10,71,22,0.464
892," McCutchen, Andrew",2020,10,48,22,0.433
893," Cabrera, Miguel",2020,10,51,24,0.417
894," Gregorius, Didi",2020,10,28,15,0.488
895," Henderson, Rickey",1980,9,54,117,0.399
896," Bumbry, Al",1980,9,75,78,0.433
897," Boone, Bob",1980,9,41,48,0.338
898," Molitor, Paul",1980,9,48,48,0.438
899," McBride, Bake",1980,9,58,26,0.453
900," Trammell, Alan",1980,9,63,69,0.404
901," Lacy, Lee",1985,9,95,39,0.409
902," Cruz, Jose",1985,9,74,43,0.426
903," Driessen, Dan",1985,9,51,50,0.351
904," Harrah, Toby",1985,9,60,113,0.389
905," Dykstra, Lenny",1990,9,48,89,0.441
906," Templeton, Garry",1990,9,59,24,0.362
907," Smith, Lonnie",1990,9,69,58,0.459
908," Raines, Tim",1990,9,43,70,0.392
909," Grace, Mark",1990,9,54,59,0.413
910," Roberts, Bip",1990,9,65,55,0.433
911," Henderson, Rickey",1995,9,66,72,0.447
912," Gwynn, Tony",1995,9,15,35,0.484
913," Gil, Benji",1995,9,147,26,0.347
914," Kennedy, Adam",2000,9,73,28,0.403
915," Koskie, Corey",2000,9,104,77,0.441
916," Offerman, Jose",2000,9,70,70,0.359
917," DeJesus, David",2005,9,76,42,0.445
918," Counsell, Craig",2005,9,69,78,0.375
919," Mackowiak, Rob",2005,9,100,43,0.389
920," Mauer, Joe",2005,9,64,61,0.411
921," Polanco, Placido",2005,9,25,33,0.447
922," Casey, Sean",2005,9,48,48,0.423
923," Millar, Kevin",2005,9,74,54,0.399
924," Perez, Neifi",2005,9,47,18,0.383
925," Pierzynski, A.J.",2010,9,39,15,0.388
926," Mauer, Joe",2010,9,53,65,0.469
927," Prado, Martin",2015,9,68,37,0.394
928," Jackson, Austin",2015,9,126,29,0.385
929," Escobar, Yunel",2015,9,70,45,0.415
930," Kipnis, Jason",2015,9,107,57,0.451
931," Gregorius, Didi",2015,9,85,33,0.37
932," Polanco, Gregory",2015,9,121,55,0.381
933," Merrifield, Whit",2020,9,33,12,0.44
934," Reyes, Franmil",2020,9,69,24,0.45
935," McMahon, Ryan",2020,9,66,18,0.419
936," Seager, Kyle",2020,9,33,32,0.433
937," Rendon, Anthony",2020,9,31,38,0.497
938," Ruiz, Rio",2020,9,46,17,0.427
939," Conforto, Michael",2020,9,57,24,0.515
940," Tucker, Kyle",2020,9,46,18,0.512
941," Guerrero Jr., Vladimir",2020,9,38,20,0.462
942," Kepler, Max",2020,9,36,22,0.439
943," Henderson, Steve",1980,8,90,62,0.402
944," Youngblood, Joel",1980,8,69,52,0.381
945," Herndon, Larry",1980,8,91,19,0.385
946," Reitz, Ken",1980,8,44,22,0.379
947," Burleson, Rick",1980,8,51,62,0.366
948," Boggs, Wade",1985,8,61,96,0.478
949," Garcia, Damaso",1985,8,41,15,0.377
950," Herr, Tom",1985,8,55,80,0.416
951," Thon, Dickie",1990,8,77,37,0.35
952," Phillips, Tony",1990,8,85,99,0.351
953," Perry, Gerald",1990,8,56,39,0.361
954," Girardi, Joe",1995,8,76,29,0.359
955," DeShields, Delino",1995,8,83,63,0.369
956," Olerud, John",1995,8,54,84,0.404
957," Bordick, Mike",1995,8,48,35,0.35
958," Javier, Stan",1995,8,63,49,0.387
959," Bell, Derek",1995,8,71,33,0.442
960," Belliard, Ronnie",2000,8,84,82,0.389
961," Glanville, Doug",2000,8,76,31,0.374
962," Guzman, Cristian",2000,8,101,46,0.388
963," Adams, Russ",2005,8,57,50,0.383
964," Cabrera, Orlando",2005,8,50,38,0.365
965," Wilson, Jack",2005,8,58,31,0.363
966," Figgins, Chone",2005,8,101,64,0.397
967," Eckstein, David",2005,8,44,58,0.395
968," Lowell, Mike",2005,8,58,46,0.36
969," Renteria, Edgar",2005,8,100,55,0.385
970," Grudzielanek, Mark",2005,8,81,26,0.407
971," Damon, Johnny",2010,8,90,69,0.401
972," Infante, Omar",2010,8,62,29,0.416
973," Cedeno, Ronny",2010,8,106,23,0.382
974," Herrera, Odubel",2015,8,129,28,0.418
975," Baez, Javier",2020,8,75,7,0.36
976," Santana, Carlos",2020,8,43,47,0.35
977," Arenado, Nolan",2020,8,20,15,0.434
978," Lindor, Francisco",2020,8,41,24,0.415
979," Taylor, Chris",2020,8,55,26,0.476
980," Aguilar, Jesus",2020,8,40,23,0.457
981," Nimmo, Brandon",2020,8,43,33,0.484
982," Grandal, Yasmani",2020,8,58,30,0.422
983," Adames, Willy",2020,8,74,20,0.481
984," Bell, Josh",2020,8,59,22,0.364
985," Cabrera, Asdrubal",2020,8,40,19,0.447
986," White, Evan",2020,8,84,18,0.346
987," Riley, Austin",2020,8,49,16,0.415
988," Franco, Maikel",2020,8,38,16,0.457
989," Biggio, Cavan",2020,8,61,41,0.432
990," Crawford, Brandon",2020,8,47,15,0.465
991," Grossman, Robbie",2020,8,38,21,0.482
992," Rivers, Mickey",1980,7,34,20,0.437
993," White, Frank",1980,7,69,19,0.357
994," Randolph, Willie",1980,7,45,119,0.407
995," Landreaux, Ken",1980,7,42,39,0.417
996," Trillo, Manny",1980,7,46,32,0.412
997," Scioscia, Mike",1985,7,21,77,0.42
998," Concepcion, Dave",1985,7,67,50,0.33
999," Ray, Johnny",1985,7,24,46,0.375
1000," Brookens, Tom",1985,7,78,27,0.375
1001," Gladden, Dan",1985,7,78,40,0.347
1002," Quintana, Carlos",1990,7,74,52,0.383
1003," Kruk, John",1990,7,70,69,0.431
1004," Pena, Tony",1990,7,71,43,0.348
1005," Larkin, Barry",1990,7,49,49,0.396
1006," Bell, Jay",1990,7,109,65,0.362
1007," Kelly, Roberto",1995,7,79,22,0.373
1008," Mattingly, Don",1995,7,35,40,0.413
1009," Lofton, Kenny",1995,7,49,40,0.453
1010," Durham, Ray",1995,7,83,31,0.384
1011," Vizquel, Omar",2000,7,72,87,0.375
1012," Womack, Tony",2000,7,74,30,0.384
1013," Grudzielanek, Mark",2000,7,81,45,0.389
1014," Ausmus, Brad",2000,7,79,69,0.365
1015," Ford, Lew",2005,7,85,45,0.377
1016," Hatteberg, Scott",2005,7,54,51,0.343
1017," Erstad, Darin",2005,7,109,47,0.371
1018," Reyes, Jose",2005,7,78,27,0.386
1019," Reyes, Jose",2015,7,62,26,0.378
1020," Andrus, Elvis",2015,7,78,46,0.357
1021," Cervelli, Francisco",2015,7,94,46,0.401
1022," Galvis, Freddy",2015,7,103,30,0.343
1023," Yelich, Christian",2015,7,101,47,0.416
1024," Bogaerts, Xander",2015,7,101,32,0.421
1025," Semien, Marcus",2020,7,50,25,0.374
1026," Frazier, Adam",2020,7,35,17,0.364
1027," Dickerson, Corey",2020,7,35,15,0.402
1028," Martinez, J.D.",2020,7,59,22,0.389
1029," Vazquez, Christian",2020,7,43,16,0.457
1030," Segura, Jean",2020,7,45,23,0.422
1031," Walker, Christian",2020,7,50,19,0.459
1032," Bradley Jr., Jackie",2020,7,48,23,0.45
1033," Reynolds, Bryan",2020,7,57,21,0.357
1034," Longoria, Evan",2020,7,39,11,0.425
1035," Profar, Jurickson",2020,7,28,15,0.428
1036," Candelario, Jeimer",2020,7,49,20,0.503
1037," Contreras, Willson",2020,7,57,20,0.407
1038," Montanez, Willie",1980,6,55,39,0.348
1039," Washington, U L",1980,6,78,53,0.375
1040," Powell, Hosken",1980,6,46,32,0.355
1041," Wathan, John",1980,6,42,50,0.406
1042," Cowens, Al",1980,6,61,49,0.352
1043," Franco, Julio",1985,6,74,54,0.381
1044," Smith, Ozzie",1985,6,27,65,0.361
1045," Duncan, Mariano",1985,6,113,38,0.34
1046," Templeton, Garry",1985,6,88,41,0.377
1047," Smith, Lonnie",1985,6,89,56,0.358
1048," Gwynn, Tony",1985,6,33,45,0.408
1049," Garner, Phil",1985,6,72,34,0.4
1050," Magadan, Dave",1990,6,55,74,0.457
1051," Harper, Brian",1990,6,27,19,0.432
1052," Seitzer, Kevin",1990,6,66,67,0.37
1053," Boggs, Wade",1990,6,68,87,0.418
1054," Coleman, Vince",1990,6,88,35,0.4
1055," Alomar, Roberto",1990,6,72,48,0.381
1056," Surhoff, B.J.",1990,6,37,41,0.376
1057," Browne, Jerry",1990,6,46,72,0.372
1058," Vizquel, Omar",1995,6,59,59,0.351
1059," Morandini, Mickey",1995,6,80,42,0.417
1060," Alicea, Luis",1995,6,61,63,0.375
1061," Gagne, Greg",1995,6,60,38,0.374
1062," Lamb, Mike",2000,6,60,34,0.373
1063," Young, Eric",2000,6,39,63,0.399
1064," Goodwin, Tom",2000,6,117,68,0.352
1065," Jackson, Damian",2000,6,108,62,0.377
1066," Alicea, Luis",2000,6,75,59,0.404
1067," Owens, Eric",2000,6,63,45,0.381
1068," Lugo, Julio",2005,6,72,61,0.403
1069," Polanco, Placido",2010,6,47,32,0.386
1070," Podsednik, Scott",2010,6,83,40,0.382
1071," Suzuki, Ichiro",2010,6,86,45,0.394
1072," Hudson, Orlando",2010,6,87,50,0.372
1073," Molina, Yadier",2010,6,51,42,0.342
1074," Keppinger, Jeff",2010,6,36,51,0.393
1075," Fowler, Dexter",2010,6,104,57,0.41
1076," Pennington, Cliff",2010,6,96,50,0.368
1077," Segura, Jean",2015,6,93,13,0.336
1078," LeMahieu, DJ",2015,6,107,50,0.388
1079," Inciarte, Ender",2015,6,58,26,0.408
1080," Peterson, Jace",2015,6,120,56,0.335
1081," Davis, J.D.",2020,6,56,31,0.389
1082," Verdugo, Alex",2020,6,45,17,0.478
1083," Gurriel, Yuli",2020,6,27,12,0.384
1084," Dozier, Hunter",2020,6,48,27,0.392
1085," Moncada, Yoan",2020,6,72,28,0.385
1086," Laureano, Ramon",2020,6,58,24,0.366
1087," Marte, Starling",2020,6,41,12,0.43
1088," Blackmon, Charlie",2020,6,44,19,0.448
1089," Hicks, Aaron",2020,6,38,41,0.414
1090," Mondesi, Adalberto",2020,6,70,11,0.416
1091," Pillar, Kevin",2020,6,41,13,0.462
1092," Goldschmidt, Paul",2020,6,43,37,0.466
1093," Concepcion, Dave",1980,5,107,37,0.36
1094," Wills, Bump",1980,5,71,51,0.36
1095," Wynegar, Butch",1980,5,36,63,0.335
1096," Randle, Lenny",1980,5,55,50,0.37
1097," Garner, Phil",1980,5,53,46,0.358
1098," Dent, Bucky",1980,5,37,48,0.354
1099," Pendleton, Terry",1985,5,75,37,0.306
1100," Randolph, Willie",1985,5,39,85,0.356
1101," Barrett, Marty",1985,5,50,56,0.343
1102," Hubbard, Glenn",1985,5,54,56,0.314
1103," Boone, Bob",1985,5,35,37,0.317
1104," Ramirez, Rafael",1985,5,63,20,0.333
1105," Gantner, Jim",1985,5,42,33,0.327
1106," Butler, Brett",1985,5,42,63,0.431
1107," Ventura, Robin",1990,5,53,55,0.318
1108," Reed, Jody",1990,5,65,75,0.39
1109," Eisenreich, Jim",1990,5,51,42,0.397
1110," Owen, Spike",1990,5,60,70,0.342
1111," Hatcher, Billy",1990,5,42,33,0.381
1112," Reynolds, Harold",1990,5,52,81,0.347
1113," Herr, Tom",1990,5,58,50,0.347
1114," Gladden, Dan",1990,5,67,26,0.376
1115," Clayton, Royce",1995,5,109,38,0.342
1116," Seitzer, Kevin",1995,5,57,64,0.421
1117," Lemke, Mark",1995,5,40,44,0.356
1118," Boggs, Wade",1995,5,50,74,0.422
1119," Coleman, Vince",1995,5,80,37,0.398
1120," Veras, Quilvio",1995,5,68,80,0.373
1121," Gates, Brent",1995,5,84,46,0.344
1122," Hamilton, Darryl",1995,5,35,47,0.389
1123," McLemore, Mark",1995,5,71,59,0.358
1124," Relaford, Desi",2000,5,71,75,0.3
1125," Bergeron, Peter",2000,5,100,58,0.349
1126," Martinez, Dave",2000,5,73,50,0.37
1127," Aybar, Erick",2010,5,81,35,0.33
1128," Davis, Rajai",2010,5,78,26,0.377
1129," Schumaker, Skip",2010,5,64,43,0.338
1130," Gardner, Brett",2010,5,101,79,0.379
1131," Burns, Billy",2015,5,81,26,0.392
1132," Gose, Anthony",2015,5,145,45,0.367
1133," Brantley, Michael",2020,5,28,17,0.476
1134," Peralta, David",2020,5,45,13,0.433
1135," La Stella, Tommy",2020,5,12,27,0.449
1136," Gonzalez, Marwin",2020,5,41,17,0.32
1137," Ahmed, Nick",2020,5,46,18,0.402
1138," Arcia, Orlando",2020,5,32,14,0.416
